,numero_viagem_da_linha_no_dia,ordem_veiculo_na_linha_no_dia,duracao_total_realizada,nome_linha,atendimento,empresa,numero_ordem_veiculo,numero_linha,hora_prevista,hora_realizada,duracao_prevista,duracao_realizada,sentido_viagem
1051,1052,2,67.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4003,901,2020-10-05 06:33:00,2020-10-05 06:34:00,32,35.0,volta
1052,1053,3,68.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4045,901,2020-10-05 06:30:00,2020-10-05 06:32:00,38,25.0,ida
1053,1054,3,68.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4045,901,2020-10-05 07:08:00,2020-10-05 06:59:00,37,41.0,volta
1054,1055,1,78.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 07:00:00,2020-10-05 06:59:00,38,31.0,ida
1055,1056,1,78.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 07:38:00,2020-10-05 07:31:00,37,46.0,volta
1056,1057,1,64.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 08:20:00,2020-10-05 08:23:00,38,24.0,ida
1057,1058,1,64.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 08:58:00,2020-10-05 08:49:00,37,38.0,volta
1058,1059,1,67.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 09:40:00,2020-10-05 09:39:00,38,25.0,ida
1059,1060,1,67.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 10:18:00,2020-10-05 10:07:00,37,39.0,volta
1060,1061,1,74.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 11:00:00,2020-10-05 10:59:00,38,25.0,ida
1061,1062,1,74.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 11:38:00,2020-10-05 11:28:00,37,45.0,volta
1062,1063,1,60.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 12:20:00,2020-10-05 12:21:00,38,24.0,ida
1063,1064,1,60.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 12:58:00,2020-10-05 12:48:00,37,33.0,volta
1064,1065,1,58.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 13:40:00,2020-10-05 13:38:00,38,21.0,ida
1065,1066,1,58.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 14:18:00,2020-10-05 14:02:00,37,34.0,volta
1066,1067,1,63.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 15:00:00,2020-10-05 15:02:00,38,26.0,ida
1067,1068,1,63.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 15:38:00,2020-10-05 15:30:00,37,35.0,volta
1068,1069,1,70.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 16:20:00,2020-10-05 16:22:00,38,30.0,ida
1069,1070,1,70.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 16:58:00,2020-10-05 16:54:00,37,38.0,volta
1070,1071,1,75.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 17:40:00,2020-10-05 17:43:00,38,29.0,ida
1071,1072,1,75.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 18:18:00,2020-10-05 18:15:00,37,43.0,volta
1072,1073,1,66.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 19:00:00,2020-10-05 19:02:00,38,27.0,ida
1073,1074,1,66.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 19:38:00,2020-10-05 19:31:00,37,37.0,volta
1074,1075,1,54.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 20:45:00,2020-10-05 20:47:00,30,24.0,ida
1075,1076,1,54.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 21:15:00,2020-10-05 21:11:00,30,30.0,volta
1076,1077,1,24.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 22:05:00,2020-10-05 22:05:00,30,24.0,ida
1077,1078,1,24.0,T.I. B. Bentes/ Eust. Gomes (Via Hospital Metropolitano).,TI B Bentes X E Gomes (Hosp Metr) Somente Cartão,Real Transportes Urbanos Ltda.,4010,901,2020-10-05 22:35:00,2020-10-05 22:30:00,30,,volta
1078,1079,1,133.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 06:10:00,2020-10-05 06:16:00,60,70.0,ida
1079,1080,1,133.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 07:10:00,2020-10-05 07:28:00,60,61.0,volta
1080,1081,2,132.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4421,903,2020-10-05 07:50:00,2020-10-05 07:46:00,60,73.0,ida
1081,1082,2,132.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4421,903,2020-10-05 08:50:00,2020-10-05 09:01:00,60,57.0,volta
1082,1083,1,120.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 09:20:00,2020-10-05 09:23:00,60,62.0,ida
1083,1084,1,120.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 10:20:00,2020-10-05 10:26:00,60,57.0,volta
1084,1085,2,134.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4421,903,2020-10-05 10:20:00,2020-10-05 10:24:00,58,66.0,ida
1085,1086,2,134.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4421,903,2020-10-05 11:18:00,2020-10-05 11:32:00,57,66.0,volta
1086,1087,1,113.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 11:20:00,2020-10-05 11:27:00,58,61.0,ida
1087,1088,1,113.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 12:18:00,2020-10-05 12:30:00,57,50.0,volta
1088,1089,2,112.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4421,903,2020-10-05 12:20:00,2020-10-05 12:46:00,58,60.0,ida
1089,1090,2,112.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4421,903,2020-10-05 13:18:00,2020-10-05 13:47:00,57,51.0,volta
1090,1091,1,113.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 13:20:00,2020-10-05 13:27:00,58,60.0,ida
1091,1092,1,113.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 14:18:00,2020-10-05 14:29:00,57,51.0,volta
1092,1093,2,124.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4421,903,2020-10-05 14:20:00,2020-10-05 14:47:00,58,67.0,ida
1093,1094,2,124.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4421,903,2020-10-05 15:18:00,2020-10-05 15:56:00,57,55.0,volta
1094,1095,1,110.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 15:20:00,2020-10-05 15:27:00,58,61.0,ida
1095,1096,1,110.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 16:18:00,2020-10-05 16:30:00,57,47.0,volta
1096,1097,1,115.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 17:30:00,2020-10-05 17:34:00,48,63.0,ida
1097,1098,1,115.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 18:18:00,2020-10-05 18:39:00,67,50.0,volta
1098,1099,1,98.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 19:40:00,2020-10-05 19:58:00,30,53.0,ida
1099,1100,1,98.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 20:10:00,2020-10-05 20:53:00,70,43.0,volta
1100,1101,1,86.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 22:00:00,2020-10-05 21:59:00,20,53.0,ida
1101,1102,1,86.0,Benedito Bentes X UFAL / Forene/E.Gomes/G.Ramos,T.I B. Bentes X UFAL,Real Transportes Urbanos Ltda.,4418,903,2020-10-05 22:20:00,2020-10-05 22:52:00,80,33.0,volta
1102,1103,1,110.0,Village Campestre II X Centro / Cojurão,Village Campestre II X Centro (Corujão),Real Transportes Urbanos Ltda.,4044,097,2020-10-05 00:00:00,2020-10-05 00:00:00,55,75.0,ida
1103,1104,1,110.0,Village Campestre II X Centro / Cojurão,Village Campestre II X Centro (Corujão),Real Transportes Urbanos Ltda.,4044,097,2020-10-05 00:55:00,2020-10-05 01:16:00,55,34.0,volta
1104,1105,1,107.0,Village Campestre II X Centro / Cojurão,Village Campestre II X Centro (Corujão),Real Transportes Urbanos Ltda.,4044,097,2020-10-05 02:00:00,2020-10-05 02:04:00,55,73.0,ida
1105,1106,1,107.0,Village Campestre II X Centro / Cojurão,Village Campestre II X Centro (Corujão),Real Transportes Urbanos Ltda.,4044,097,2020-10-05 02:55:00,2020-10-05 03:17:00,55,34.0,volta
1106,1107,1,,Village Campestre II X Centro / Cojurão,Village Campestre II X Centro (Corujão),Real Transportes Urbanos Ltda.,4044,097,2020-10-05 04:20:00,2020-10-05 04:16:00,55,,ida
1107,1108,1,159.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações).,Real Transportes Urbanos Ltda.,4074,105,2020-10-05 05:30:00,2020-10-05 05:29:00,80,89.0,ida
1108,1109,1,159.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 06:50:00,2020-10-05 06:59:00,80,69.0,volta
1109,1110,1,137.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 08:15:00,2020-10-05 08:19:00,68,66.0,ida
1110,1111,1,137.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 09:23:00,2020-10-05 09:25:00,67,71.0,volta
1111,1112,1,138.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 11:00:00,2020-10-05 11:03:00,68,65.0,ida
1112,1113,1,138.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 12:08:00,2020-10-05 12:08:00,67,73.0,volta
1113,1114,1,164.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 13:20:00,2020-10-05 13:30:00,68,64.0,ida
1114,1115,1,164.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 14:28:00,2020-10-05 14:37:00,67,97.0,volta
1115,1116,1,178.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 15:40:00,2020-10-05 16:22:00,68,70.0,ida
1116,1117,1,178.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 16:48:00,2020-10-05 17:33:00,67,107.0,volta
1117,1118,1,,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 18:00:00,,68,,ida
1118,1119,1,,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 19:08:00,,67,,volta
1119,1120,1,93.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 20:45:00,2020-10-05 20:46:00,50,45.0,ida
1120,1121,1,93.0,Jardim Petrópolis X Trapiche / Farol,Jardim Petrópolis / Trapiche (S. Lyra X Nações),Real Transportes Urbanos Ltda.,4074,105,2020-10-05 21:35:00,2020-10-05 21:31:00,50,48.0,volta
1121,1122,1,154.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 05:00:00,2020-10-05 04:56:00,73,70.0,ida
1122,1123,1,154.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 06:13:00,2020-10-05 06:08:00,72,82.0,volta
1123,1124,2,171.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 06:00:00,2020-10-05 05:58:00,83,86.0,ida
1124,1125,2,171.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 07:23:00,2020-10-05 07:25:00,82,84.0,volta
1125,1126,1,183.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 07:25:00,2020-10-05 07:36:00,88,94.0,ida
1126,1127,1,183.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 08:53:00,2020-10-05 09:13:00,87,86.0,volta
1127,1128,2,172.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 08:50:00,2020-10-05 08:58:00,88,94.0,ida
1128,1129,2,172.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 10:18:00,2020-10-05 10:32:00,87,78.0,volta
1129,1130,1,165.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 10:50:00,2020-10-05 10:52:00,80,89.0,ida
1130,1131,1,165.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 12:10:00,2020-10-05 12:23:00,80,74.0,volta
1131,1132,2,151.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 12:15:00,2020-10-05 12:16:00,80,76.0,ida
1132,1133,2,151.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 13:35:00,2020-10-05 13:33:00,80,74.0,volta
1133,1134,1,181.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 13:40:00,2020-10-05 13:47:00,88,84.0,ida
1134,1135,1,181.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 15:08:00,2020-10-05 15:16:00,87,92.0,volta
1135,1136,2,188.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 15:05:00,2020-10-05 15:31:00,93,79.0,ida
1136,1137,2,188.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 16:38:00,2020-10-05 16:51:00,92,108.0,volta
1137,1138,1,174.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 16:40:00,2020-10-05 17:06:00,80,90.0,ida
1138,1139,1,174.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 18:00:00,2020-10-05 18:40:00,80,80.0,volta
1139,1140,2,151.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 18:15:00,2020-10-05 18:52:00,63,84.0,ida
1140,1141,2,151.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 19:18:00,2020-10-05 20:17:00,62,66.0,volta
1141,1142,1,132.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 19:50:00,2020-10-05 20:09:00,60,64.0,ida
1142,1143,1,132.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4186,110,2020-10-05 20:50:00,2020-10-05 21:14:00,60,67.0,volta
1143,1144,2,101.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 20:50:00,2020-10-05 21:25:00,60,50.0,ida
1144,1145,2,101.0,Graciliano Ramos X Trapiche / Via Expressa/Feitosa,Graciliano Ramos X Trapiche / Feitosa,Real Transportes Urbanos Ltda.,4187,110,2020-10-05 21:50:00,2020-10-05 22:15:00,60,51.0,volta
1145,1146,1,158.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4198,117,2020-10-05 05:00:00,2020-10-05 04:57:00,85,77.0,ida
1146,1147,1,158.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4198,117,2020-10-05 06:25:00,2020-10-05 06:14:00,85,81.0,volta
1147,1148,2,111.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4082,117,2020-10-05 06:00:00,2020-10-05 06:09:00,88,111.0,ida
1148,1149,2,111.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4082,117,2020-10-05 07:28:00,2020-10-05 08:01:00,87,,volta
1149,1150,3,196.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4037,117,2020-10-05 07:00:00,2020-10-05 07:03:00,93,106.0,ida
1150,1151,3,196.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4037,117,2020-10-05 08:33:00,2020-10-05 08:50:00,92,89.0,volta
1151,1152,1,187.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4198,117,2020-10-05 08:20:00,2020-10-05 08:18:00,93,96.0,ida
1152,1153,1,187.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4198,117,2020-10-05 09:53:00,2020-10-05 09:55:00,92,90.0,volta
1153,1154,2,191.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4401,117,2020-10-05 09:30:00,2020-10-05 09:29:00,93,97.0,ida
1154,1155,2,191.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4401,117,2020-10-05 11:03:00,2020-10-05 11:07:00,92,93.0,volta
1155,1156,3,182.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4037,117,2020-10-05 10:40:00,2020-10-05 10:40:00,93,91.0,ida
1156,1157,3,182.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4037,117,2020-10-05 12:13:00,2020-10-05 12:12:00,92,90.0,volta
1157,1158,1,172.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4198,117,2020-10-05 11:50:00,2020-10-05 11:53:00,88,89.0,ida
1158,1159,1,172.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4198,117,2020-10-05 13:18:00,2020-10-05 13:22:00,87,83.0,volta
1159,1160,2,192.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4401,117,2020-10-05 13:00:00,2020-10-05 13:01:00,88,94.0,ida
1160,1161,2,192.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4401,117,2020-10-05 14:28:00,2020-10-05 14:37:00,87,96.0,volta
1161,1162,3,171.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4037,117,2020-10-05 14:00:00,2020-10-05 14:01:00,88,84.0,ida
1162,1163,3,171.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4037,117,2020-10-05 15:28:00,2020-10-05 15:26:00,87,86.0,volta
1163,1164,1,195.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4198,117,2020-10-05 15:15:00,2020-10-05 15:12:00,100,82.0,ida
1164,1165,1,195.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4198,117,2020-10-05 16:55:00,2020-10-05 16:35:00,100,112.0,volta
1165,1166,2,208.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4401,117,2020-10-05 16:30:00,2020-10-05 16:33:00,100,98.0,ida
1166,1167,2,208.0,Village Campestre II X Trapiche  /Cambuci/Feitosa,Village II X Trapiche / Cambuci,Real Transportes Urbanos Ltda.,4401,117,2020-10-05 18:10:00,2020-10-05 18:11:00,100,110.0,volta
